,id,Цитата,Автор
0,0,"Обучение в школе жизни — принудительно, избежать его не может ни один человек.",Д. Вудберри
1,1,Жизнь — это почти непрерывная цепь собственных открытий.,Г. Гауптман
2,2,Жизнь — это бесконечное совершенствование. Считать себя совершенным — значит убить себя.,Ф. Геббель
3,3,В жизни ничего наверстать невозможно — эту истину каждый должен усвоить как можно раньше.,Ф. Геббель
4,4,"Жизнь, которая не оставляет прочных следов, стирается ири всяком шаге вперед.",А. И. Герцен
5,5,"Жизнь — это долг, хотя б она была мгновением.",И. Гёте
6,6,Жизнь — прекраснейшая из выдумок природы.,И. Гёте
7,7,"Жизни верь, она ведь учит лучше всяких книг.",И. Гёте
8,8,Жизнь и умение должны помогать друг другу.,Т. Гиппелъ
9,9,Искусство жить — это жить с перспективой.,Ф. В. Гладков
10,10,"Жизнь и деятельность столь же тесно соединены между собою, как пламя и свет. Что пылает, то, верно, светит, что живет, то, конечно, действует.",Ф. Н. Глинка
11,11,"Жизнь не может быть настолько тяжела, чтобы ее нельзя было облегчить своим отношением к ней.",Э. Глэзгоу
12,12,Быть в мире и ничем не обозначить своего существования — это кажется мне ужасным.,Н. В. Гоголь
13,13,"Без жертв, без усилий и лишений нельзя жить на свете: жизнь — не сад, в котором растут только одни цветы.",И. А. Гончаров
14,14,Жизнь ничего не дарует без тяжких трудов и волнений.,Гораций
15,15,"Жизнь идет: кто не поспевает за ней, тот остается одиноким.",М. Горький
16,16,"Жизнь немногому может научить того, кто не научился переносить страдание.",А. Граф
17,17,"Если бы смерти не стало, жизнь лишилась бы всякой поэзии.",А. Граф
18,18,"В делах человеческих лучше разбирается не тот, кто больше прожил, а тот, кто больше наблюдал.",А. Граф
19,19,"Нет поэзии в безмятежной и блаженной жизни! Надо, чтобы что-нибудь ворочало душу и жгло воображение.",Давыдов
20,20,Смерть и жизнь равноправны: они не могут обойтись друг без друга.,А. Дальсем
21,21,"Завершенность жизни, и краткой и долгой, определяется только целью, ради которой она прожита.",Д. Джордан
22,22,"Жалок поистине тот, кто ищет легкой жизни.",Д. Джордан
23,23,"Жизнь без шума — великое утешение для того, кто живет без славы.",Ж. Долан
24,24,"Надо любить жизнь больше, чем смысл жизни.",Ф. М. Достоевский
25,25,Главное в жизни и главное в познапии — это сама жизнь.,Т. Драйзер
26,26,Жизнь наша есть борьба.,Еврипид
27,27,"Если ты ценишь свою жизнь, помни, что п другие не мепыпе цепят свою.",Еврипид
28,28,"Книгу, где все слова пишутся с заглавной буквы, трудно читать; так и с жизнью, в которой все дни воскресенья.",Жан Поль
29,29,Жить — значит непрестанно рождаться.,М. Жуандо
30,30,"Немного стоит жизнь того, кому ничто не дороже жизни.",И. Зейме
31,31,Без отчаяния в жизни нет и любви к жизни.,А. Камю
32,32,"Кто боязливо заботится о том, как бы не потерять жизнь, никогда пе будет радоваться ей.",И. Кант
33,33,"Жизнь людей, преданных только наслаждению без рассудка и без нравственности, не имеет никакой цены.",И. Кант
34,34,Всего несноснее жить па свете бесполезно.,Н. М. Карамзин
35,35,"Жизнь не в том, чтобы жить, а в том, чтобы чувствовать, что живешь.",В. О. Ключевский
36,36,"Жизнь учит лишь тех, кто ее изучает.",В. О. Ключевский
37,37,"Кто может наполнить каждое мгновение глубоким содержанием, тот бесконечно продлевает свою жизнь.",И. Курц
38,38,"Ни к кому не ходить на поклон и не ждать, что придут на поклон к вам,— вот отрадная жизнь, золотой век, естественное состояние человека.",Ж. Лабрюйер
39,39,"Жизнь — это то, что люди больше всего стремятся сохранить и меньше всего берегут.",Ж. Лабрюйер
